ip,first_seen,last_seen,categories,events,signals
60.249.251.88,2026-08-25T17:00:00Z,2026-09-01T01:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
60.251.229.144,2026-08-25T14:00:00Z,2026-09-03T00:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
61.12.84.172,2026-09-01T00:00:00Z,2026-09-01T00:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
61.12.86.90,2026-09-01T02:00:00Z,2026-09-01T02:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
61.146.235.54,2026-09-01T09:00:00Z,2026-09-01T09:00:00Z,1,19,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
61.155.63.94,2026-08-30T23:00:00Z,2026-08-30T23:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
61.169.54.150,2026-09-02T04:00:00Z,2026-09-02T04:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
61.184.128.210,2026-08-31T23:00:00Z,2026-09-02T06:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
61.186.136.36,2026-08-31T22:00:00Z,2026-08-31T22:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
62.79.146.1,2026-09-01T23:00:00Z,2026-09-01T23:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
62.122.195.14,2026-09-01T03:00:00Z,2026-09-02T04:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
62.169.22.67,2026-08-30T09:00:00Z,2026-08-31T08:00:00Z,1,14074,honeypot_connection;honeypot_login_attempt
62.169.25.36,2026-08-30T09:00:00Z,2026-08-31T08:00:00Z,1,19049,honeypot_connection;honeypot_login_attempt
62.169.28.68,2026-08-30T09:00:00Z,2026-08-31T08:00:00Z,1,19644,honeypot_connection;honeypot_login_attempt
62.169.28.123,2026-08-30T09:00:00Z,2026-08-31T08:00:00Z,1,14726,honeypot_connection;honeypot_login_attempt
62.182.132.94,2026-09-01T01:00:00Z,2026-09-01T07:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
62.183.82.70,2026-08-31T13:00:00Z,2026-08-31T13:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
62.201.228.210,2026-09-01T06:00:00Z,2026-09-01T15:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
62.220.123.61,2026-09-01T00:00:00Z,2026-09-01T00:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
64.23.175.24,2026-08-19T21:00:00Z,2026-08-29T09:00:00Z,1,83406,honeypot_connection
64.62.156.172,2026-09-02T02:00:00Z,2026-09-02T02:00:00Z,1,5,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
65.20.131.63,2026-09-02T16:00:00Z,2026-09-02T16:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
65.20.131.212,2026-09-01T14:00:00Z,2026-09-01T14:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
65.20.134.97,2026-08-26T10:00:00Z,2026-09-02T23:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
