ip,first_seen,last_seen,categories,events,signals
83.226.181.38,2026-09-03T08:00:00Z,2026-09-03T16:00:00Z,1,3,honeypot_connection;honeypot_login_attempt
83.239.84.130,2026-08-31T22:00:00Z,2026-09-04T00:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
83.239.108.218,2026-09-03T09:00:00Z,2026-09-03T09:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
83.255.210.166,2026-08-26T20:00:00Z,2026-09-03T12:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
85.99.93.205,2026-08-31T11:00:00Z,2026-09-03T08:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
85.121.52.146,2026-09-01T13:00:00Z,2026-09-04T04:00:00Z,1,484,honeypot_connection;honeypot_login_attempt
85.137.242.4,2026-09-03T05:00:00Z,2026-09-03T05:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
85.152.57.60,2026-09-01T23:00:00Z,2026-09-03T17:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
86.43.71.34,2026-09-03T12:00:00Z,2026-09-03T12:00:00Z,1,36,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
87.160.173.152,2026-09-03T14:00:00Z,2026-09-03T14:00:00Z,1,36,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
88.119.170.179,2026-09-03T12:00:00Z,2026-09-04T04:00:00Z,1,347,honeypot_connection;honeypot_login_attempt
88.173.19.100,2026-09-03T12:00:00Z,2026-09-03T12:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
88.249.10.161,2026-08-26T20:00:00Z,2026-09-03T19:00:00Z,1,8,honeypot_connection;honeypot_login_attempt
89.253.90.113,2026-09-03T12:00:00Z,2026-09-03T12:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
90.230.168.26,2026-09-03T13:00:00Z,2026-09-03T13:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
90.230.212.29,2026-08-25T20:00:00Z,2026-09-03T10:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
90.230.226.175,2026-09-03T23:00:00Z,2026-09-03T23:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
